,original_title,release_date,revenue,runtime,vote_average,Animation,Comedy,Horror,Western,Thriller,Crime,Romance,History,Fantasy,ScienceFiction,Action,Mystery,Family,Drama,Adventure
4545,Worth Winning,1989,0.0,103.0,6.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4546,Warlock: The Armageddon,1993,0.0,98.0,5.2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4547,Weekend at Bernie's II,1993,0.0,97.0,4.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4548,Billy Liar,1963,0.0,93.0,6.7,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4549,Black Robe,1991,0.0,101.0,7.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
4550,Il gatto a nove code,1971,0.0,110.0,6.9,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
4551,The Cotton Club,1984,25928721.0,127.0,6.5,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
4552,Def-Con 4,1985,0.0,88.0,2.8,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
4553,The Hotel New Hampshire,1984,0.0,109.0,5.8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4554,Idiot Box,1996,0.0,85.0,4.7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
4555,Left Luggage,1998,100544.0,100.0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4556,Who'll Stop the Rain,1978,0.0,126.0,6.8,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
4557,"Zorro, The Gay Blade",1981,0.0,93.0,5.4,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
4558,Basket Case,1982,0.0,91.0,6.2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4559,Orphans,1998,49501.0,101.0,6.8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4560,Original Sin,2001,35402320.0,118.0,5.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4561,The Princess Diaries,2001,165335153.0,115.0,6.5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
4562,Rush Hour 2,2001,347325802.0,90.0,6.4,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
4563,Thomas est amoureux,2000,0.0,97.0,6.0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
4564,Chocolat,1988,0.0,105.0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4565,Hatari!,1962,0.0,157.0,6.2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
4566,La Cage aux folles,1978,20424259.0,99.0,6.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4567,La Cage aux folles II,1980,6950125.0,101.0,5.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4568,Liebestraum,1991,0.0,112.0,6.2,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
4569,Marat/Sade,1967,0.0,116.0,5.9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
4570,Paint Your Wagon,1969,31678778.0,158.0,6.3,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
4571,The Shootist,1976,8091910.0,100.0,7.3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
4572,Theremin: An Electronic Odyssey,1994,0.0,83.0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4573,L'Enfant sauvage,1970,0.0,83.0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4574,Altered States,1980,19853892.0,102.0,6.7,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0
4575,Any Which Way You Can,1980,70687344.0,115.0,6.1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
4576,The Awakening,1980,0.0,105.0,5.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4577,Bad Timing,1980,0.0,123.0,6.6,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
4578,The Big Brawl,1980,0.0,95.0,5.9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4579,American Pie 2,2001,287553595.0,108.0,6.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4580,Osmosis Jones,2001,13596911.0,95.0,6.0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
4581,The Others,2001,0.0,101.0,7.4,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
4582,American Outlaws,2001,13678913.0,94.0,5.7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4583,All Over the Guy,2001,1051948.0,95.0,5.6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4584,The Deep End,2001,0.0,101.0,6.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
4585,On the Edge,2001,0.0,85.0,7.4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4586,Session 9,2001,373967.0,100.0,6.2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4587,The Turandot Project,2000,0.0,87.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4588,Captain Corelli's Mandolin,2001,62112895.0,131.0,5.6,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
4589,Rat Race,2001,85498534.0,112.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4590,Aberdeen,2000,0.0,113.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4591,Innocence,2000,0.0,94.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4592,Bubble Boy,2001,0.0,84.0,5.1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
4593,The Curse of the Jade Scorpion,2001,0.0,103.0,6.5,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0
4594,Jay and Silent Bob Strike Back,2001,33788161.0,104.0,6.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4595,Ghosts of Mars,2001,14010832.0,98.0,4.8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
4596,Summer Catch,2001,19693891.0,108.0,4.8,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4597,An American Rhapsody,2001,850225.0,106.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
4598,Happy Accidents,2000,688510.0,110.0,7.1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
4599,Lisa Picard Is Famous,2000,0.0,90.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600,Maybe Baby,2000,0.0,104.0,5.6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4601,Tillsammans,2000,0.0,106.0,6.8,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4602,Punks,2000,0.0,91.0,5.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4603,Tortilla Soup,2001,4574762.0,103.0,5.8,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4604,Jeepers Creepers,2001,59217789.0,90.0,6.1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4605,O,2001,16017403.0,95.0,5.8,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
4606,Waking Up in Reno,2002,261603.0,91.0,5.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4607,Speedway Junky,1999,0.0,104.0,5.2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
4608,3 Ninjas,1992,0.0,84.0,5.5,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
4609,3 Ninjas Kick Back,1994,0.0,93.0,4.6,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
4610,3 Ninjas Knuckle Up,1995,0.0,85.0,4.2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
4611,The Hunter,1980,0.0,93.0,6.2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
4612,Maniac,1980,0.0,87.0,6.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4613,Vamp,1986,4790926.0,93.0,5.9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4614,The Wicker Man,1973,0.0,99.0,7.1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
4615,Wish Upon a Star,1996,0.0,89.0,6.2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
4616,The Musketeer,2001,27053815.0,104.0,5.2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
4617,Rock Star,2001,16991902.0,105.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4618,Soul Survivors,2001,0.0,84.0,4.4,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
4619,Two Can Play That Game,2001,0.0,90.0,6.6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4620,Bounce: Behind The Velvet Rope,2001,0.0,71.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4621,Diamond Men,2000,0.0,100.0,6.7,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
4622,جمعه,2000,0.0,94.0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4623,Satree lek,2000,0.0,104.0,5.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4624,Kill Me Later,2001,0.0,89.0,6.0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0
4625,L.I.E. Long Island Expressway,2001,1667192.0,97.0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4626,La virgen de los sicarios,2000,0.0,101.0,6.5,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
4627,Abbott and Costello Meet the Mummy,1955,0.0,79.0,6.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4628,"Dr. Mabuse, der Spieler",1922,0.0,270.0,7.6,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
4629,Into the Arms of Strangers: Stories of the Kindertransport,2000,0.0,122.0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4630,The Glass House,2001,23619609.0,106.0,5.4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4631,Hardball,2001,40222729.0,106.0,6.3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4632,Dinner Rush,2000,0.0,99.0,7.1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
4633,Haiku Tunnel,2001,251058.0,88.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4634,Big Trouble,2002,8493890.0,85.0,6.3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
4635,Glitter,2001,5271666.0,104.0,3.4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4636,Training Day,2001,104876233.0,122.0,7.3,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
4637,The American Astronaut,2001,0.0,91.0,6.5,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
4638,Children Underground,2001,0.0,104.0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4639,Go Tigers!,2001,0.0,103.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4640,Liam,2000,0.0,90.0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4641,Megiddo: The Omega Code 2,2001,0.0,104.0,3.6,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
4642,Sidewalks of New York,2001,2402459.0,107.0,5.6,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4643,The Endurance: Shackleton's Legendary Antarctic Expedition,2000,2452566.0,97.0,6.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4644,The French Lieutenant's Woman,1981,2689068.0,124.0,6.7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4645,Il grande silenzio,1968,0.0,100.0,7.5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
4646,The Legend of Hell House,1973,0.0,95.0,6.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4647,Little Man Tate,1991,0.0,99.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
4648,Москва слезам не верит,1980,0.0,142.0,7.9,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4649,Phantom of the Paradise,1974,0.0,92.0,7.5,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
4650,The Return of a Man Called Horse,1976,0.0,129.0,5.3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
4651,Valdez Is Coming,1971,0.0,90.0,5.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4652,13 Ghosts,1960,0.0,85.0,5.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4653,Montenegro,1981,0.0,96.0,7.7,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4654,Opera,1987,0.0,107.0,6.6,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
4655,Father Goose,1964,0.0,118.0,6.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
4656,The Grass Is Greener,1960,6000000.0,104.0,5.5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4657,A Hole in the Head,1959,0.0,120.0,5.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4658,Indiscreet,1958,0.0,100.0,6.3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4659,"It's a Mad, Mad, Mad, Mad World",1963,60000000.0,163.0,7.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
4660,King Solomon's Mines,1937,0.0,80.0,4.8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
4661,The Little Foxes,1941,0.0,115.0,7.7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4662,Operation Petticoat,1959,6800000.0,124.0,6.9,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
4663,Play Misty for Me,1971,10600000.0,102.0,6.5,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
4664,Pocketful of Miracles,1961,5000000.0,136.0,7.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4665,Sayonara,1957,0.0,147.0,5.4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4666,Obchod na korze,1965,0.0,128.0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4667,Spring Break,1983,0.0,102.0,5.1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4668,The Vanishing,1993,0.0,109.0,5.9,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
4669,Silkwood,1983,0.0,131.0,6.9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4670,I Never Promised You a Rose Garden,1977,0.0,96.0,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4671,Quadrophenia,1979,0.0,120.0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4672,SpaceCamp,1986,9697739.0,107.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
4673,When Worlds Collide,1951,0.0,83.0,6.2,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
4674,Don't Say a Word,2001,100020092.0,113.0,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4675,Hearts in Atlantis,2001,24185781.0,101.0,6.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4676,Zoolander,2001,60780981.0,89.0,6.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4677,Born Romantic,2000,0.0,96.0,5.9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4678,Extreme Days,2001,1.0,93.0,5.9,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
4679,Va savoir,2001,0.0,154.0,6.9,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
4680,Won't Anybody Listen,2001,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4681,Joy Ride,2001,36642838.0,97.0,6.3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
4682,Max Keeble's Big Move,2001,17292381.0,86.0,5.4,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
4683,Serendipity,2001,77516304.0,90.0,6.6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4684,Grateful Dawg,2000,0.0,81.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4685,La Ciénaga,2001,0.0,103.0,7.1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4686,The Big Red One,1980,7206220.0,113.0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4687,The Boogey Man,1980,0.0,82.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4688,La Boum,1980,0.0,110.0,6.4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4689,Lady in a Cage,1964,0.0,94.0,6.6,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
4690,Brubaker,1980,37121708.0,125.0,7.1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4691,Can't Stop the Music,1980,0.0,124.0,4.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4692,Carny,1980,0.0,107.0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4693,The Changeling,1980,12000000.0,107.0,7.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4694,Cheech & Chong's Next Movie,1980,41675194.0,99.0,6.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
4695,Coal Miner's Daughter,1980,67182787.0,125.0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4696,The Competition,1980,0.0,123.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4697,Cruising,1980,0.0,102.0,6.0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0
4698,D.O.A.,1980,0.0,95.0,2.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4699,Death Ship,1980,0.0,91.0,5.5,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
4700,Le Dernier Métro,1980,0.0,131.0,7.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4701,Divine Madness,1980,0.0,95.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4702,The Dogs of War,1980,0.0,118.0,4.9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
4703,The Learning Curve,2001,0.0,113.0,6.5,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
4704,Bandits,2001,67631903.0,123.0,6.2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
4705,Corky Romano,2001,23978402.0,86.0,4.1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
4706,少年黃飛鴻之鐵馬骝,1993,14681661.0,90.0,7.6,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
4707,À ma sœur!,2001,0.0,86.0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4708,Mulholland Drive,2001,20117339.0,147.0,7.7,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
4709,My First Mister,2001,0.0,109.0,6.4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4710,Spriggan,1998,0.0,90.0,6.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4711,Things Behind the Sun,2001,0.0,120.0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4712,Bones,2001,7316658.0,96.0,4.3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
4713,Brannigan,1975,0.0,111.0,5.1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0
4714,Clambake,1967,0.0,100.0,5.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4715,Dirty Harry,1971,35976000.0,102.0,7.4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
4716,Destiny in Space,1994,0.0,40.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4717,Fiddler on the Roof,1971,83304330.0,181.0,7.4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4718,Hail Columbia!,1982,0.0,37.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4719,Kansas,1988,0.0,110.0,3.3,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
4720,Making the Grade,1984,0.0,105.0,5.8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4721,Mission to Mir,1997,0.0,40.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4722,Not Without My Daughter,1991,0.0,116.0,6.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4723,Female Trouble,1974,0.0,97.0,6.9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4724,Titanica,1995,0.0,95.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4725,From Hell,2001,74558115.0,122.0,6.6,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
4726,The Last Castle,2001,27642707.0,131.0,7.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
4727,Riding in Cars with Boys,2001,35743308.0,132.0,6.5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4728,เพชฌฆาตเงียบอันตราย,1999,0.0,105.0,6.1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
4729,Plata quemada,2000,0.0,125.0,6.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4730,Dancing at the Blue Iguana,2000,0.0,123.0,5.3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4731,Focus,2001,0.0,106.0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4732,Intimacy,2001,0.0,119.0,6.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4733,Waking Life,2001,3176880.0,99.0,7.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4734,K-PAX,2001,50315140.0,120.0,7.1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
4735,On the Line,2001,0.0,85.0,4.1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
4736,Thir13en Ghosts,2001,0.0,91.0,5.4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4737,Better Than Sex,2000,0.0,84.0,5.5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4738,Donnie Darko,2001,1270522.0,113.0,7.7,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
4739,High Heels and Low Lifes,2001,0.0,86.0,6.4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
4740,Life as a House,2001,0.0,125.0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4741,The Man Who Wasn't There,2001,0.0,116.0,7.4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4742,Aïe,2000,0.0,103.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4743,La ville est tranquille,2000,0.0,133.0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4744,Trembling Before G-d,2001,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4745,Domestic Disturbance,2001,54249294.0,89.0,5.4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
4746,"Monsters, Inc.",2001,562816256.0,92.0,7.5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4747,The One,2001,72700000.0,87.0,5.7,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
4748,Tape,2001,490475.0,86.0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4749,Heist,2001,0.0,107.0,6.3,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
4750,Shallow Hal,2001,141069860.0,114.0,5.7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4751,King of the Jungle,2000,27.0,87.0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4752,Maze,2000,0.0,97.0,7.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4753,When a Stranger Calls,1979,0.0,97.0,6.3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4754,Timerider: The Adventure of Lyle Swann,1982,0.0,94.0,4.9,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
4755,The Wash,2001,10229331.0,93.0,5.3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4756,Harry Potter and the Philosopher's Stone,2001,976475550.0,152.0,7.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
4757,The Fluffer,2001,0.0,95.0,5.4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4758,Novocaine,2001,2025238.0,95.0,6.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
4759,Black Knight,2001,0.0,95.0,5.1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
4760,Out Cold,2001,14782676.0,89.0,5.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4761,Spy Game,2001,143049560.0,126.0,6.8,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
4762,El espinazo del diablo,2001,6459020.0,106.0,7.2,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
4763,In the Bedroom,2001,0.0,130.0,6.4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4764,Così ridevano,1998,0.0,124.0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4765,Hell Up In Harlem,1973,0.0,94.0,4.1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4766,Bucktown,1975,0.0,94.0,6.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4767,Across 110th Street,1972,0.0,102.0,6.9,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
4768,Le petit soldat,1963,0.0,88.0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4769,The Incredible Shrinking Woman,1981,0.0,88.0,5.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
4770,Keetje Tippel,1975,0.0,102.0,6.6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4771,Jabberwocky,1977,0.0,105.0,5.8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
4772,Funny Girl,1968,52223306.0,149.0,6.9,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4773,Circus of Horrors,1960,0.0,92.0,5.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4774,À bout de souffle,1960,0.0,90.0,7.7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4775,The Beastmaster,1982,14056528.0,118.0,6.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4776,Midway,1976,0.0,132.0,6.3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
4777,MacArthur,1977,0.0,130.0,6.4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
4778,The Young Lions,1958,0.0,167.0,6.4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4779,Subway,1985,390659.0,104.0,6.3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4780,"Now, Voyager",1942,0.0,117.0,7.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4781,Little Women,1933,0.0,115.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
4782,Halls of Montezuma,1951,0.0,113.0,5.6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
4783,Guadalcanal Diary,1943,0.0,93.0,6.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4784,Lo sbarco di Anzio,1968,0.0,117.0,5.5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4785,The Cheap Detective,1978,0.0,92.0,6.6,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
4786,Iedereen Beroemd!,2000,0.0,0.0,6.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4787,The Last Wave,1977,1258000.0,106.0,6.8,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
